[2026-04-12T12:43:56.593970+00:00] Real CT2 INT8 quantization — 1518 total, 0 done, 1518 remaining
[2026-04-12T12:43:56.594090+00:00] Source: lora/ (proprietary fog-of-mirror) + herm0-scripture/
[2026-04-12T12:43:56.594105+00:00] Doctor: Opus 4.6 Opus-Claw (Dr. C)
[2026-04-12T12:44:02.054089+00:00]   [0/1518] lora:NORTH_EU-NORTH_EU → 73 MB, 5.5s
[2026-04-12T12:45:53.933946+00:00]   [25/1518] lora:bem-es → 75 MB, 4.6s
[2026-04-12T12:47:44.745633+00:00]   [50/1518] lora:ccs-en → 56 MB, 4.4s
[2026-04-12T12:49:37.621200+00:00]   [75/1518] lora:cs-en → 76 MB, 4.6s
[2026-04-12T12:51:24.591880+00:00]   >> 100/1518 done, 0 errors
[2026-04-12T12:51:28.995953+00:00]   [100/1518] scripture:de-ee → 75 MB, 4.4s
[2026-04-12T12:53:20.908860+00:00]   [125/1518] lora:de-it → 74 MB, 4.5s
[2026-04-12T12:55:11.746864+00:00]   [150/1518] lora:ee-de → 75 MB, 4.6s
[2026-04-12T12:56:58.601227+00:00]   [175/1518] lora:en-bi → 71 MB, 4.2s
[2026-04-12T12:58:40.851646+00:00]   >> 200/1518 done, 0 errors
[2026-04-12T12:58:45.181445+00:00]   [200/1518] lora:en-fj → 72 MB, 4.3s
[2026-04-12T13:00:32.079336+00:00]   [225/1518] lora:en-kg → 68 MB, 4.0s
[2026-04-12T13:02:18.901388+00:00]   [250/1518] scripture:en-nl → 78 MB, 4.1s
[2026-04-12T13:04:04.095221+00:00]   [275/1518] lora:en-sw → 74 MB, 4.2s
[2026-04-12T13:05:44.917307+00:00]   >> 300/1518 done, 0 errors
[2026-04-12T13:05:49.288107+00:00]   [300/1518] lora:en_el_es_fi-en_el_es_fi → 69 MB, 4.4s
[2026-04-12T13:07:32.938411+00:00]   [325/1518] lora:es-ca → 70 MB, 4.1s
[2026-04-12T13:09:17.612324+00:00]   [350/1518] lora:es-hil → 74 MB, 4.5s
[2026-04-12T13:11:03.147642+00:00]   [375/1518] lora:es-ny → 75 MB, 4.3s
[2026-04-12T13:12:46.361257+00:00]   >> 400/1518 done, 0 errors
[2026-04-12T13:12:50.326814+00:00]   [400/1518] scripture:es-tn → 75 MB, 4.0s
[2026-04-12T13:14:37.555714+00:00]   [425/1518] lora:euq-en → 55 MB, 4.1s
[2026-04-12T13:16:26.041649+00:00]   [450/1518] scripture:fi-hil → 75 MB, 4.3s
[2026-04-12T13:18:18.418459+00:00]   [475/1518] lora:fi-lus → 71 MB, 4.1s
[2026-04-12T13:20:03.516636+00:00]   >> 500/1518 done, 0 errors
[2026-04-12T13:20:08.001690+00:00]   [500/1518] lora:fi-sl → 74 MB, 4.5s
[2026-04-12T13:21:53.493089+00:00]   [525/1518] scripture:fi-uk → 77 MB, 4.4s
[2026-04-12T13:23:40.221337+00:00]   [550/1518] lora:fr-efi → 74 MB, 4.4s
[2026-04-12T13:25:26.001309+00:00]   [575/1518] lora:fr-kwy → 75 MB, 4.3s
[2026-04-12T13:27:10.184062+00:00]   >> 600/1518 done, 0 errors
[2026-04-12T13:27:14.565341+00:00]   [600/1518] scripture:fr-ru → 78 MB, 4.4s
[2026-04-12T13:29:02.231561+00:00]   [625/1518] lora:fr-tum → 75 MB, 4.5s
[2026-04-12T13:30:51.520481+00:00]   [650/1518] lora:gem-gem → 63 MB, 4.2s
[2026-04-12T13:32:36.612496+00:00]   [675/1518] scripture:ha-sv → 74 MB, 4.0s
[2026-04-12T13:34:22.062440+00:00]   >> 700/1518 done, 0 errors
[2026-04-12T13:34:26.278110+00:00]   [700/1518] lora:hu-uk → 77 MB, 4.2s
[2026-04-12T13:36:14.513205+00:00]   [725/1518] scripture:is-fi → 75 MB, 4.2s
[2026-04-12T13:38:05.963553+00:00]   [750/1518] scripture:ja-he → 78 MB, 4.4s
[2026-04-12T13:39:52.621888+00:00]   [775/1518] lora:kwy-fr → 75 MB, 4.9s
[2026-04-12T13:41:34.582368+00:00]   >> 800/1518 done, 0 errors
[2026-04-12T13:41:38.779210+00:00]   [800/1518] scripture:lt-pl → 74 MB, 4.2s
[2026-04-12T13:43:26.943207+00:00]   [825/1518] lora:lus-en → 69 MB, 4.2s
[2026-04-12T13:45:12.007592+00:00]   [850/1518] lora:nic-en → 75 MB, 4.0s
[2026-04-12T13:46:59.248360+00:00]   [875/1518] lora:no-sv → 47 MB, 4.1s
[2026-04-12T13:48:42.796225+00:00]   >> 900/1518 done, 0 errors
[2026-04-12T13:48:46.927098+00:00]   [900/1518] lora:pap-fr → 74 MB, 4.1s
[2026-04-12T13:50:31.083358+00:00]   [925/1518] scripture:pon-sv → 72 MB, 4.0s
[2026-04-12T13:52:15.719290+00:00]   [950/1518] lora:ru-vi → 77 MB, 4.5s
[2026-04-12T13:54:05.483699+00:00]   [975/1518] lora:sl-ru → 77 MB, 4.7s
[2026-04-12T13:55:47.315078+00:00]   >> 1000/1518 done, 0 errors
[2026-04-12T13:55:51.670783+00:00]   [1000/1518] lora:st-es → 75 MB, 4.4s
[2026-04-12T13:57:36.301778+00:00]   [1025/1518] lora:sv-guw → 71 MB, 4.1s
[2026-04-12T13:59:25.348348+00:00]   [1050/1518] lora:sv-lua → 75 MB, 4.2s
[2026-04-12T14:01:13.795647+00:00]   [1075/1518] scripture:sv-sn → 75 MB, 4.3s
[2026-04-12T14:02:54.284528+00:00]   >> 1100/1518 done, 0 errors
[2026-04-12T14:02:58.777518+00:00]   [1100/1518] lora:sv-war → 74 MB, 4.5s
[2026-04-12T14:04:47.173146+00:00]   [1125/1518] lora:tc-base-fi-uk → 76 MB, 4.4s
[2026-04-12T14:07:07.018285+00:00]   [1150/1518] lora:tc-bible-big-deu_eng_fra_por_spa-bnt → 236 MB, 6.6s
[2026-04-12T14:09:48.669757+00:00]   [1175/1518] lora:tc-bible-big-gmq-en → 228 MB, 6.2s
[2026-04-12T14:12:28.075395+00:00]   >> 1200/1518 done, 0 errors
[2026-04-12T14:12:34.351166+00:00]   [1200/1518] lora:tc-bible-big-poz-deu_eng_fra_por_spa → 234 MB, 6.3s
[2026-04-12T14:15:13.422774+00:00]   [1225/1518] lora:tc-big-cat_oci_spa-en → 228 MB, 6.5s
[2026-04-12T14:17:57.873754+00:00]   [1250/1518] lora:tc-big-en-zle → 236 MB, 7.3s
[2026-04-12T14:20:39.552490+00:00]   [1275/1518] lora:tc-big-it-zle → 235 MB, 6.5s
[2026-04-12T14:23:15.051123+00:00]   >> 1300/1518 done, 0 errors
[2026-04-12T14:23:21.449914+00:00]   [1300/1518] lora:tc-big-zle-zlw → 236 MB, 6.4s
[2026-04-12T14:26:11.790259+00:00]   [1325/1518] lora:tcbig-bible_deu_eng_fra_por_spa-gmw → 222 MB, 6.2s
[2026-04-12T14:28:48.405085+00:00]   [1350/1518] lora:tcbig-bible_gmw-fra_ita_por_spa → 230 MB, 6.8s
[2026-04-12T14:31:29.613124+00:00]   [1375/1518] lora:tcbig-bible_pqw-deu_eng_fra_por_spa → 233 MB, 6.3s
[2026-04-12T14:33:48.595670+00:00]   >> 1400/1518 done, 0 errors
[2026-04-12T14:33:53.021603+00:00]   [1400/1518] lora:tll-en → 75 MB, 4.4s
[2026-04-12T14:35:38.711480+00:00]   [1425/1518] scripture:tpi-en → 69 MB, 4.3s
[2026-04-12T14:37:26.963788+00:00]   [1450/1518] lora:tw-fi → 75 MB, 4.8s
[2026-04-12T14:39:13.225135+00:00]   [1475/1518] lora:urj-urj → 61 MB, 4.0s
[2026-04-12T14:40:58.198006+00:00]   >> 1500/1518 done, 0 errors
[2026-04-12T14:41:02.501012+00:00]   [1500/1518] scripture:yo-fr → 74 MB, 4.3s
[2026-04-12T14:42:14.942504+00:00] Done: 1518 completed, 0 errors
[2026-04-12T14:42:14.942559+00:00] Updating patient files...
[2026-04-12T14:42:16.078419+00:00] Updated 1518 patient files
