[2026-04-16T00:18:27.605458+00:00] [main] ============================================================
[2026-04-16T00:18:27.605573+00:00] [main] PARALLEL UPLOAD — 8 workers
[2026-04-16T00:18:27.605594+00:00] [main] Doctor: Opus 4.6 Opus-Claw (Dr. C)
[2026-04-16T00:18:27.605604+00:00] [main] ============================================================
[2026-04-16T00:18:27.857403+00:00] [main] Auth: sneakyfree
[2026-04-16T00:18:27.889316+00:00] [main] Built 1607 targets
[2026-04-16T00:18:27.889715+00:00] [main] Phase 1: 1607 targets, 8 done, 1599 remaining
[2026-04-16T00:18:27.891662+00:00] [w0] Worker 0 started
[2026-04-16T00:18:28.892594+00:00] [w1] Worker 1 started
[2026-04-16T00:18:29.894962+00:00] [w2] Worker 2 started
[2026-04-16T00:18:30.896366+00:00] [w3] Worker 3 started
[2026-04-16T00:18:31.897351+00:00] [w4] Worker 4 started
[2026-04-16T00:18:32.898199+00:00] [w5] Worker 5 started
[2026-04-16T00:18:33.899341+00:00] [w6] Worker 6 started
[2026-04-16T00:18:34.900360+00:00] [w7] Worker 7 started
[2026-04-16T00:19:01.926920+00:00] [main] ============================================================
[2026-04-16T00:19:01.927005+00:00] [main] PARALLEL UPLOAD — 4 workers
[2026-04-16T00:19:01.927020+00:00] [main] Doctor: Opus 4.6 Opus-Claw (Dr. C)
[2026-04-16T00:19:01.927030+00:00] [main] ============================================================
[2026-04-16T00:19:02.124483+00:00] [main] Auth: sneakyfree
[2026-04-16T00:19:02.124716+00:00] [main] Targets already built: 1607
[2026-04-16T00:19:02.125034+00:00] [main] Phase 1: 1607 targets, 9 done, 1598 remaining
[2026-04-16T00:19:02.127004+00:00] [w0] Worker 0 started
[2026-04-16T00:19:03.128255+00:00] [w1] Worker 1 started
[2026-04-16T00:19:04.131532+00:00] [w2] Worker 2 started
[2026-04-16T00:19:05.132081+00:00] [w3] Worker 3 started
[2026-04-16T00:23:04.663629+00:00] [w1] processed=10 latest=bcl-de (14.6s)
[2026-04-16T00:23:46.982304+00:00] [w2] processed=10 latest=bcl-sv (27.4s)
[2026-04-16T00:24:54.194020+00:00] [w3] processed=10 latest=bem-sv (26.7s)
[2026-04-16T00:25:43.679937+00:00] [w0] processed=10 latest=bg-eo (39.4s)
[2026-04-16T00:28:09.263332+00:00] [w1] processed=20 latest=ca-en (40.3s)
[2026-04-16T00:28:42.379896+00:00] [w2] processed=20 latest=ca-uk (28.7s)
[2026-04-16T00:28:57.745513+00:00] [w3] processed=20 latest=caenes-eo (39.1s)
[2026-04-16T00:31:46.118151+00:00] [w0] processed=20 latest=crs-en (28.0s)
[2026-04-16T00:34:26.276576+00:00] [w1] processed=30 latest=da-en (7.0s)
[2026-04-16T00:34:55.326299+00:00] [w2] processed=30 latest=da-fi (6.7s)
[2026-04-16T00:36:34.298038+00:00] [w3] processed=30 latest=de-crs (17.0s)
[2026-04-16T00:38:58.455198+00:00] [w0] processed=30 latest=de-es (71.3s)
[2026-04-16T00:41:15.186299+00:00] [w1] processed=40 latest=de-is (43.4s)
[2026-04-16T00:41:37.703909+00:00] [w3] processed=40 latest=de-loz (14.7s)
[2026-04-16T00:41:53.202247+00:00] [w2] processed=40 latest=de-it (58.2s)
[2026-04-16T00:45:23.010863+00:00] [w0] processed=40 latest=ee-fi (53.5s)
[2026-04-16T00:46:03.281834+00:00] [w3] processed=50 latest=efi-fr (11.8s)
[2026-04-16T00:46:47.447307+00:00] [w2] processed=50 latest=el-sv (20.0s)
[2026-04-16T00:48:07.682488+00:00] [w1] processed=50 latest=en-alv (66.0s)
[2026-04-16T00:50:22.773149+00:00] [w0] processed=50 latest=en-cus (15.3s)
[2026-04-16T00:52:40.526317+00:00] [w2] processed=60 latest=en-euq (19.4s)
[2026-04-16T00:53:21.159989+00:00] [w3] processed=60 latest=en-fiu (45.0s)
[2026-04-16T00:54:32.212173+00:00] [w1] processed=60 latest=en-gv (24.4s)
[2026-04-16T00:56:40.127540+00:00] [w0] processed=60 latest=en-inc (25.7s)
[2026-04-16T00:57:42.628070+00:00] [w2] processed=70 latest=en-it (62.4s)
[2026-04-16T00:58:47.054532+00:00] [w3] processed=70 latest=en-loz (21.2s)
[2026-04-16T01:00:54.944893+00:00] [w0] ERROR en-nic: create_repo_error
[2026-04-16T01:00:55.013069+00:00] [w0] ERROR en-nic: create_repo_error
[2026-04-16T01:00:55.079338+00:00] [w0] ERROR en-nic: create_repo_error
